"NAME","CODE","DESC","CATEGORY","TERMINOLOGY","OUTCOME","COVARIATE"
"CANCER","B6271","Follicular non-Hodg mixed sml cleavd & lge cell lymphoma                                                                                                                                                                                                       ","LYMPHOMA (5)","READ",0,1
"CANCER","B3351","Malignant neoplasm of skin of chest, excluding breast                                                                                                                                                                                                          ","NON-MELANOMA SKIN CANCER (8)","READ",0,1
"CANCER","BBF5.","[M]Small cell sarcoma                                                                                                                                                                                                                                          ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B562.","Secondary and unspec malig neop intra-abdominal lymph nodes                                                                                                                                                                                                    ","METASTASES (6)","READ",0,1
"CANCER","B24X.","Malignant neoplasm of mediastinum, part unspecified                                                                                                                                                                                                            ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B308B","Malignant neoplasm of fourth metatarsal bone                                                                                                                                                                                                                   ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B6276","Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma                                                                                                                                                                                                         ","LYMPHOMA (5)","READ",0,1
"CANCER","BBr04","[M]Aleukaemic leukaemia NOS                                                                                                                                                                                                                                    ","LEUKAEMIA (4)","READ",0,1
"CANCER","BB5R1","[M]Carcinoid tumour, malignant                                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB22.","[M]Papillary carcinoma NOS                                                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B07..","Malignant neoplasm of nasopharynx                                                                                                                                                                                                                              ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B220.","Malignant neoplasm of trachea                                                                                                                                                                                                                                  ","SOLID TUMOUR (3)","READ",0,1
"CANCER","ByuC2","[X]2ndry+unspcf malignant neoplasm lymph nodes/multi regions                                                                                                                                                                                                   ","METASTASES (6)","READ",0,1
"CANCER","BBE1.","[M]Malignant melanoma NOS                                                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBj2.","[M]Hodgkin's disease, mixed cellularity                                                                                                                                                                                                                        ","LYMPHOMA (5)","READ",0,1
"CANCER","BBK2z","[M]Myoma or myosarcoma NOS                                                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B124.","Malignant neoplasm, overlapping lesion of small intestine                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B225.","Malignant neoplasm of overlapping lesion of bronchus & lung                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B241.","Malignant neoplasm of heart                                                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B7F40","Spinal meningioma                                                                                                                                                                                                                                              ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B65..","Myeloid leukaemia                                                                                                                                                                                                                                              ","LEUKAEMIA (4)","READ",0,1
"CANCER","B541.","Malignant neoplasm of parathyroid gland                                                                                                                                                                                                                        ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB5j2","[M]Endometrioid carcinoma                                                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B34y0","Malignant neoplasm of ectopic site of female breast                                                                                                                                                                                                            ","SOLID TUMOUR (3)","READ",0,1
"CANCER","7G03J","Excision of melanoma                                                                                                                                                                                                                                           ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBg2.","[M]Malignant lymphoma, non Hodgkin's type                                                                                                                                                                                                                      ","LYMPHOMA (5)","READ",0,1
"CANCER","BB5z.","[M]Adenoma or adenocarcinoma NOS                                                                                                                                                                                                                               ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB61.","[M]Sweat gland adenoma and adenocarcinomas                                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B68z.","Leukaemia NOS                                                                                                                                                                                                                                                  ","LEUKAEMIA (4)","READ",0,1
"CANCER","B118.","Siewert type II adenocarcinoma                                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B614.","Hodgkin's disease, nodular sclerosis                                                                                                                                                                                                                           ","LYMPHOMA (5)","READ",0,1
"CANCER","B5421","Malignant neoplasm of craniopharyngeal duct                                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBr4.","[M]Erythroleukaemias                                                                                                                                                                                                                                           ","LEUKAEMIA (4)","READ",0,1
"CANCER","ZV10.","[V]Personal history of malignant neoplasm                                                                                                                                                                                                                      ","HISTORY OF CANCER (1)","READ",0,1
"CANCER","B564.","Secondary and unspec malig neop inguinal and lower limb LN                                                                                                                                                                                                     ","METASTASES (6)","READ",0,1
"CANCER","BB691","[M]Sebaceous adenocarcinoma                                                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5245","Malignant neoplasm of peripheral nerve of pelvis                                                                                                                                                                                                               ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B52..","Malig neop of other and unspecified parts of nervous system                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBgK.","[M]Malig lymphoma, follicular centre cell, non-cleaved NOS                                                                                                                                                                                                     ","LYMPHOMA (5)","READ",0,1
"CANCER","B180.","Malignant neoplasm of retroperitoneum                                                                                                                                                                                                                          ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB56.","[M]Superficial spreading adenocarcinoma                                                                                                                                                                                                                        ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B3310","Malignant neoplasm of canthus                                                                                                                                                                                                                                  ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB43.","[M]Transitional cell carcinoma NOS                                                                                                                                                                                                                             ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBj11","[M]Hodgkin's disease, lymphocytic predominance, nodular                                                                                                                                                                                                        ","LYMPHOMA (5)","READ",0,1
"CANCER","Byu70","[X]Malignant neoplasm of uterine adnexa, unspecified                                                                                                                                                                                                           ","SOLID TUMOUR (3)","READ",0,1
"CANCER","ByuC6","[X]2ndry malignant neoplasm/oth+unspec parts/nervous system                                                                                                                                                                                                    ","METASTASES (6)","READ",0,1
"CANCER","BBG1.","[M]Fibrosarcoma NOS                                                                                                                                                                                                                                            ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B3111","Malignant neoplasm of connective and soft tissue, upper arm                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB5B1","[M]Islet cell carcinoma                                                                                                                                                                                                                                        ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B20y.","Malig neop other site nasal cavity, middle ear and sinuses                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B552.","Malignant neoplasm of abdomen                                                                                                                                                                                                                                  ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB5Lz","[M]Adenomatous or adenocarcinomatous polyp NOS                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B53..","Malignant neoplasm of thyroid gland                                                                                                                                                                                                                            ","SOLID TUMOUR (3)","READ",0,1
"CANCER","1J0J.","Suspected gynaecological cancer                                                                                                                                                                                                                                ","POSSIBLE CANCER (2)","READ",0,1
"CANCER","BBL0.","[M]Endometrial stromal sarcoma                                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B600.","Reticulosarcoma                                                                                                                                                                                                                                                ","LYMPHOMA (5)","READ",0,1
"CANCER","BB09.","[M]Malignant tumour, giant cell type                                                                                                                                                                                                                           ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B6142","Hodgkin's nodular sclerosis of intrathoracic lymph nodes                                                                                                                                                                                                       ","LYMPHOMA (5)","READ",0,1
"CANCER","B691.","Chronic myelomonocytic leukaemia                                                                                                                                                                                                                               ","LEUKAEMIA (4)","READ",0,1
"CANCER","B5823","Secondary malignant neoplasm of skin of trunk                                                                                                                                                                                                                  ","METASTASES (6)","READ",0,1
"CANCER","B63y.","Other immunoproliferative neoplasms                                                                                                                                                                                                                            ","LYMPHOMA (5)","READ",0,1
"CANCER","B301.","Malignant neoplasm of mandible                                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B45y0","Malignant neoplasm of overlapping lesion of vulva                                                                                                                                                                                                              ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBr..","[M]Leukaemias                                                                                                                                                                                                                                                  ","LEUKAEMIA (4)","READ",0,1
"CANCER","BBf..","[M]Granular cell tumours and alveolar soft part sarcoma                                                                                                                                                                                                        ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B2...","Malig neop of respiratory tract and intrathoracic organs                                                                                                                                                                                                       ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B33X.","Malignant neoplasm overlapping lesion of skin                                                                                                                                                                                                                  ","NON-MELANOMA SKIN CANCER (8)","READ",0,1
"CANCER","BB6A.","[M]Ceruminous adenoma and adenocarcinoma                                                                                                                                                                                                                       ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5600","Secondary and unspec malig neop of superficial parotid LN                                                                                                                                                                                                      ","METASTASES (6)","READ",0,1
"CANCER","B3040","Malignant neoplasm of scapula                                                                                                                                                                                                                                  ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBr68","[M]Chronic myelomonocytic leukaemia                                                                                                                                                                                                                            ","LEUKAEMIA (4)","READ",0,1
"CANCER","B0100","Malignant neoplasm of base of tongue dorsal surface                                                                                                                                                                                                            ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B10z.","Malignant neoplasm of oesophagus NOS                                                                                                                                                                                                                           ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B6132","Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes                                                                                                                                                                                                    ","LYMPHOMA (5)","READ",0,1
"CANCER","B4303","Malignant neoplasm of myometrium of corpus uteri                                                                                                                                                                                                               ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB81.","[M]Ovarian cystadenoma or carcinoma                                                                                                                                                                                                                            ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B312.","Malig neop of connective and soft tissue of hip and leg                                                                                                                                                                                                        ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B493.","Malignant neoplasm of anterior wall of urinary bladder                                                                                                                                                                                                         ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBgJ.","[M]Malignant lymphoma, centroblastic type NOS                                                                                                                                                                                                                  ","LYMPHOMA (5)","READ",0,1
"CANCER","BBj61","[M]Hodgkin's disease, nodular sclerosis, mixed cellularity                                                                                                                                                                                                     ","LYMPHOMA (5)","READ",0,1
"CANCER","B010.","Malignant neoplasm of base of tongue                                                                                                                                                                                                                           ","SOLID TUMOUR (3)","READ",0,1
"CANCER","1J06.","Suspected cervical cancer                                                                                                                                                                                                                                      ","POSSIBLE CANCER (2)","READ",0,1
"CANCER","B0710","Malignant neoplasm of adenoid                                                                                                                                                                                                                                  ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B936.","Myeloma - solitary                                                                                                                                                                                                                                             ","LEUKAEMIA (4)","READ",0,1
"CANCER","B3140","Malig neop of connective and soft tissue of abdominal wall                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B322z","Malignant melanoma of ear and external auricular canal NOS                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B56y.","Secondary and unspec malig neop lymph nodes multiple sites                                                                                                                                                                                                     ","METASTASES (6)","READ",0,1
"CANCER","B5511","Malignant neoplasm of chest wall NOS                                                                                                                                                                                                                           ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B522.","Malignant neoplasm of spinal cord                                                                                                                                                                                                                              ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBb5.","[M]Choroid plexus papilloma NOS                                                                                                                                                                                                                                ","SOLID TUMOUR (3)","READ",0,1
"CANCER","Byu80","[X]Malignant neoplasm/other specified male genital organs                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB5F.","[M]Trabecular adenocarcinoma                                                                                                                                                                                                                                   ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B3220","Malignant melanoma of auricle (ear)                                                                                                                                                                                                                            ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB9H.","[M]Inflammatory carcinoma                                                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B586.","Secondary malignant neoplasm of ovary                                                                                                                                                                                                                          ","METASTASES (6)","READ",0,1
"CANCER","B020.","Malignant neoplasm of parotid gland                                                                                                                                                                                                                            ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBgS.","[M]Malignant lymphoma, large cell, cleaved, diffuse                                                                                                                                                                                                            ","LYMPHOMA (5)","READ",0,1
"CANCER","B3371","Malignant neoplasm of skin of thigh                                                                                                                                                                                                                            ","NON-MELANOMA SKIN CANCER (8)","READ",0,1
"CANCER","B6214","Mycosis fungoides of lymph nodes of axilla and upper limb                                                                                                                                                                                                      ","LYMPHOMA (5)","READ",0,1
"CANCER","B34yz","Malignant neoplasm of other site of female breast NOS                                                                                                                                                                                                          ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB5f6","[M]Papillary and follicular adenocarcinoma                                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5641","Secondary and unspec malig neop deep inguinal lymph nodes                                                                                                                                                                                                      ","METASTASES (6)","READ",0,1
"CANCER","B58y0","Secondary malignant neoplasm of breast                                                                                                                                                                                                                         ","METASTASES (6)","READ",0,1
"CANCER","B62x0","T-zone lymphoma                                                                                                                                                                                                                                                ","LYMPHOMA (5)","READ",0,1
"CANCER","BB69z","[M]Sebaceous adenoma or adenocarcinoma NOS                                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5740","Secondary malignant neoplasm of duodenum                                                                                                                                                                                                                       ","METASTASES (6)","READ",0,1
"HYPERTENSION_DRUGS","35180111000001106","Ramipril 10mg tablets (Aurobindo Pharma Ltd) (product)                                                                                                                                                                                                         ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","35187911000001105","Valsartan 40mg capsules (Milpharm Ltd) (product)                                                                                                                                                                                                               ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","35311000001104","Atenolol 100mg tablets (Generics (UK) Ltd) (product)                                                                                                                                                                                                           ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","35392311000001103","Lisinopril 20mg tablets (Crescent Pharma Ltd) (product)                                                                                                                                                                                                        ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","3672411000001101","Vascace 2.5mg tablets (Roche Products Ltd) (product)                                                                                                                                                                                                           ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","3820911000001103","Debrisoquine 10mg tablets (Cambridge Laboratories) (product)                                                                                                                                                                                                   ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","3932711000001105","Centyl K modified-release tablets (LEO Pharma) (product)                                                                                                                                                                                                       ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","4040311000001101","Perdix 15mg tablets (Schwarz Pharma Ltd) (product)                                                                                                                                                                                                             ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","409311000001103","Verapamil 120mg tablets (Unichem Plc) (product)                                                                                                                                                                                                                ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","424411000001101","Captopril 25mg tablets (Approved Prescription Services) (product)                                                                                                                                                                                              ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","17619711000001102","Physiotens 400microgram tablets (Necessity Supplies Ltd) (product)                                                                                                                                                                                             ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","17620311000001100","Cardicor 3.75mg tablets (Necessity Supplies Ltd) (product)                                                                                                                                                                                                     ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","17660711000001105","Losartan 25mg tablets (Arrow Generics Ltd) (product)                                                                                                                                                                                                           ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","17661111000001103","Losartan 100mg tablets (Arrow Generics Ltd) (product)                                                                                                                                                                                                          ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","17662011000001107","Trandolapril 2mg capsules (Arrow Generics Ltd) (product)                                                                                                                                                                                                       ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","17747811000001100","Acebutolol 100mg capsules (Phoenix Healthcare Distribution Ltd) (product)                                                                                                                                                                                      ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","17748011000001107","Acebutolol 200mg capsules (Phoenix Healthcare Distribution Ltd) (product)                                                                                                                                                                                      ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","17810611000001109","Bumetanide 1mg tablets (Phoenix Healthcare Distribution Ltd) (product)                                                                                                                                                                                         ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","8390011000001106","Clonidine 10micrograms/5ml oral solution (Special Order) (product)                                                                                                                                                                                             ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","29882911000001107","Lacidipine 4mg tablets (Sigma Pharmaceuticals Plc) (product)                                                                                                                                                                                                   ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","29891911000001102","Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (Sigma Pharmaceuticals Plc) (product)                                                                                                                                                                     ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","29898411000001103","Losartan 100mg / Hydrochlorothiazide 12.5mg tablets (Sigma Pharmaceuticals Plc) (product)                                                                                                                                                                      ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","29932711000001105","Amlodipine 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) (product)                                                                                                                                                                             ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","29954411000001107","Adizem-SR 90mg capsules (Lexon (UK) Ltd) (product)                                                                                                                                                                                                             ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","29998911000001102","Bendroflumethiazide 2.5mg tablets (Mawdsley-Brooks & Company Ltd) (product)                                                                                                                                                                                    ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30012711000001106","Celiprolol 200mg tablets (Mawdsley-Brooks & Company Ltd) (product)                                                                                                                                                                                             ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30015711000001102","Co-amilofruse 10mg/80mg tablets (Mawdsley-Brooks & Company Ltd) (product)                                                                                                                                                                                      ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30053411000001103","Eprosartan 300mg tablets (DE Pharmaceuticals) (product)                                                                                                                                                                                                        ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30075311000001109","Perindopril erbumine 2mg tablets (DE Pharmaceuticals) (product)                                                                                                                                                                                                ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30077011000001104","Pindolol 5mg tablets (DE Pharmaceuticals) (product)                                                                                                                                                                                                            ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30086611000001104","Ramipril 1.25mg capsules (DE Pharmaceuticals) (product)                                                                                                                                                                                                        ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30104911000001107","Trandolapril 4mg capsules (DE Pharmaceuticals) (product)                                                                                                                                                                                                       ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30111411000001103","Verapamil 80mg tablets (DE Pharmaceuticals) (product)                                                                                                                                                                                                          ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30133711000001103","Furosemide 20mg tablets (Mawdsley-Brooks & Company Ltd) (product)                                                                                                                                                                                              ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30822011000001101","Amlodipine 10mg/5ml oral solution sugar free (DE Pharmaceuticals) (product)                                                                                                                                                                                    ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30829011000001108","Methyldopa 500mg tablets (Mawdsley-Brooks & Company Ltd) (product)                                                                                                                                                                                             ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30834411000001100","Trandolapril 500microgram capsules (DE Pharmaceuticals) (product)                                                                                                                                                                                              ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30855311000001105","Losartan 50mg tablets (Mawdsley-Brooks & Company Ltd) (product)                                                                                                                                                                                                ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30860011000001105","Propranolol 80mg modified-release capsules (Mawdsley-Brooks & Company Ltd) (product)                                                                                                                                                                           ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30861711000001104","Quinapril 10mg tablets (Mawdsley-Brooks & Company Ltd) (product)                                                                                                                                                                                               ",NA,"DMD",0,1
"HYPERTENSION_DRUGS","30890511000001100","Telmisartan 40mg tablets (Mawdsley-Brooks & Company Ltd) (product)                                                                                                                                                                                             ",NA,"DMD",0,1
